,ip,isp,addr,dspeed,uspeed,ping,jitter,created,hr
361,36.142.191.*,China Mobile,"China,Gansu,Lanzhou",161.23,35.88,241.3,0.85,2021-07-20 08:07:41,8.116666666666667
695,120.235.42.*,China Mobile,"China,Guangdong,Foshan",1.47,9.67,257.32,5.28,2021-04-26 21:37:50,21.616666666666667
864,117.150.100.*,China Mobile,"China,Hubei,Shiyan",5.8,7.84,276.5,6.97,2021-04-08 11:53:04,11.883333333333333
921,120.230.99.*,China Mobile,"China,Guangdong,Guangzhou",80.47,14.18,205.3,37.11,2021-04-05 21:12:21,21.2
961,39.189.48.*,China Mobile,"China,Zhejiang,Ningbo",22.14,22.11,277.0,6.21,2021-04-04 19:04:33,19.066666666666666
1017,112.5.201.*,China Mobile,"China,Fujian,Xiamen",2.51,23.09,216.26,1.83,2021-04-04 13:28:58,13.466666666666667
1025,112.47.112.*,China Mobile,"China,Fujian,Jinjiang",1.19,21.7,244.67,287.14,2021-04-04 13:20:17,13.333333333333334
1044,117.175.124.*,China Mobile,"China,Sichuan,Chengdu",2.73,93.19,247.13,232.88,2021-04-04 10:11:56,10.183333333333334
1050,117.175.124.*,China Mobile,"China,Sichuan,Chengdu",66.58,66.4,248.77,0.39,2021-04-04 09:07:08,9.116666666666667
1051,223.88.59.*,China Mobile,"China,Beijing,Beijing",4.13,28.46,226.79,2.87,2021-04-04 08:56:02,8.933333333333334
1057,117.175.124.*,China Mobile,"China,Sichuan,Chengdu",14.26,85.57,270.7,26.33,2021-04-04 08:23:35,8.383333333333333
1068,112.32.2.*,China Mobile,"China,Anhui,Hefei",105.45,11.23,210.58,0.62,2021-04-04 03:05:05,3.0833333333333335
1074,120.229.48.*,China Mobile,"China,Guangdong,Shenzhen",82.57,26.72,206.75,7.42,2021-04-04 02:13:06,2.216666666666667
1077,111.20.225.*,China Mobile,"China,Shaanxi,Yulin",0.52,54.01,247.5,1.96,2021-04-04 00:47:05,0.7833333333333333
1092,112.10.81.*,China Mobile,"China,Zhejiang,Hangzhou",82.25,53.71,221.51,11.74,2021-04-04 00:05:14,0.08333333333333333
1111,183.212.161.*,China Mobile,"China,Jiangsu,Nanjing",51.9,8.96,297.19,1.76,2021-04-03 23:37:22,23.616666666666667
1126,223.64.9.*,China Mobile,"China,Shanghai,Xuhui",2.17,110.76,220.46,5.54,2021-04-03 23:13:21,23.216666666666665
1205,223.104.39.*,China Mobile,"China,Beijing,Beijing",11.67,4.01,241.21,5.28,2021-04-03 21:20:09,21.333333333333332
1206,39.187.250.*,China Mobile,"China,Zhejiang,Yiwu",2.71,21.42,222.31,121.01,2021-04-03 21:19:51,21.316666666666666
1219,117.173.62.*,China Mobile,"China,Sichuan,Chengdu",0.86,104.54,266.69,37.55,2021-04-03 21:13:41,21.216666666666665
1281,117.136.3.*,China Mobile,"China,Inner Mongolia Autonomous Region,Huimin",3.19,4.28,254.16,91.87,2021-04-03 20:24:27,20.4
1308,112.47.115.*,China Mobile,"China,Fujian,Jinjiang",52.94,30.7,216.68,2.15,2021-04-03 20:08:52,20.133333333333333
1326,183.209.141.*,China Mobile,"China,Jiangsu,Nanjing",266.09,106.25,297.92,3.89,2021-04-03 19:56:55,19.933333333333334
1329,112.14.75.*,China Mobile,"China,Zhejiang,Wenzhou",24.12,35.82,197.92,4.32,2021-04-03 19:53:57,19.883333333333333
1345,223.102.70.*,China Mobile,"China,Liaoning,Dalian",1.74,44.69,230.09,2.66,2021-04-03 19:43:41,19.716666666666665
1369,112.36.232.*,China Mobile,"China,Beijing,Beijing",0.45,5.71,239.6,177.07,2021-04-03 19:35:53,19.583333333333332
1377,36.156.113.*,China Mobile,"China,,",1.87,56.91,240.0,87.26,2021-04-03 19:31:22,19.516666666666666
1463,120.230.131.*,China Mobile,"China,Beijing,Beijing",0.72,14.66,199.79,4.9,2021-03-21 16:20:54,16.333333333333332
1485,183.199.128.*,China Mobile,"China,Hebei,Dazidian",0.52,81.83,230.77,141.47,2021-03-19 19:21:48,19.35
1488,223.74.59.*,China Mobile,"China,Guangdong,Heyuan",4.36,13.2,219.68,20.34,2021-03-19 18:59:45,18.983333333333334
1508,112.36.92.*,China Mobile,"China,Shandong,Bizidian",70.13,11.31,235.5,9.87,2021-03-19 07:44:39,7.733333333333333
1540,183.222.27.*,China Mobile,"China,Sichuan,Chengdu",1.35,5.81,264.59,0.53,2021-03-18 13:26:43,13.433333333333334
1564,223.104.131.*,China Mobile,"China,Hunan,Changsha",39.12,4.77,261.8,14.19,2021-03-18 11:05:47,11.083333333333334
