,ip,isp,addr,dspeed,uspeed,ping,jitter,created,hr
111,115.52.175.*,China Unicom,"China,Hubei,Wuhan",4.24,57.25,196.9,1.28,2022-02-07 23:47:27,23.783333333333335
322,123.139.94.*,China Unicom,"China,Shaanxi,Xi&#39;an",4.96,5.1,295.0,106.99,2021-08-30 21:56:01,21.933333333333334
451,222.137.0.*,China Unicom,"China,Shanghai,Shanghai",55.98,47.59,219.0,9.28,2021-05-30 05:57:20,5.95
821,122.97.174.*,China Unicom,"China,Beijing,Beijing",4.29,3.9,282.63,11.75,2021-04-15 07:58:34,7.966666666666667
822,112.224.32.*,China Unicom,"China,Beijing,Beijing",96.99,19.15,251.0,8.54,2021-04-15 07:54:51,7.9
842,58.249.110.*,China Unicom,"China,Guangdong,Guangzhou",38.45,2.1,242.74,12.46,2021-04-10 21:33:15,21.55
859,112.111.24.*,China Unicom,"China,Fujian,Fuzhou",2.77,3.18,243.15,8.25,2021-04-09 10:43:13,10.716666666666667
869,61.53.81.*,China Unicom,"China,Henan,Kaifeng",54.86,10.61,198.5,3.83,2021-04-07 14:05:27,14.083333333333334
873,175.152.221.*,China Unicom,"China,Sichuan,Chengdu",4.61,16.78,267.1,58.76,2021-04-06 23:03:33,23.05
895,124.160.193.*,China Unicom,"China,Zhejiang,Hangzhou",14.38,115.71,272.64,50.53,2021-04-06 09:59:05,9.983333333333333
900,124.130.139.*,China Unicom,"China,,",58.77,95.92,235.41,0.39,2021-04-06 08:27:02,8.45
904,182.123.98.*,China Unicom,"China,Henan,Zhengzhou",54.41,6.09,196.82,0.94,2021-04-06 00:58:31,0.9666666666666667
916,110.245.37.*,China Unicom,"China,Hebei,Yaocheng",4.22,24.41,223.0,30.84,2021-04-05 21:56:49,21.933333333333334
917,124.93.248.*,China Unicom,"China,Beijing,Beijing",0.6,0.47,221.02,152.11,2021-04-05 21:41:12,21.683333333333334
918,223.166.141.*,China Unicom,"China,Shanghai,Shanghai",36.66,24.8,205.39,54.15,2021-04-05 21:40:31,21.666666666666668
922,114.250.229.*,China Unicom,"China,Beijing,Beijing",40.13,36.24,184.8,4.55,2021-04-05 21:01:35,21.016666666666666
945,123.117.35.*,China Unicom,"China,Beijing,Beijing",147.09,31.42,213.6,20.63,2021-04-05 14:54:34,14.9
956,112.229.0.*,China Unicom,"China,Shandong,Jinan",36.66,28.96,212.53,3.86,2021-04-04 21:48:00,21.8
957,120.81.189.*,China Unicom,"China,,",125.29,21.05,244.45,0.43,2021-04-04 19:44:19,19.733333333333334
972,223.166.141.*,China Unicom,"China,Shanghai,Shanghai",52.15,26.55,221.75,42.27,2021-04-04 15:41:21,15.683333333333334
973,119.36.254.*,China Unicom,"China,Hubei,Wujiashan",130.9,17.02,206.49,2.44,2021-04-04 15:40:33,15.666666666666666
1000,221.219.105.*,China Unicom,"China,Beijing,Beijing",24.64,27.94,270.0,20.79,2021-04-04 14:58:26,14.966666666666667
1001,114.249.195.*,China Unicom,"China,Beijing,Beijing",70.01,29.83,210.89,3.92,2021-04-04 14:56:29,14.933333333333334
1004,58.243.172.*,China Unicom,"China,Anhui,Fuyang",5.51,26.48,209.93,20.68,2021-04-04 14:54:50,14.9
1011,60.215.208.*,China Unicom,"China,Shandong,Yantai",71.35,73.68,218.4,7.0,2021-04-04 14:12:34,14.2
1016,115.59.166.*,China Unicom,"China,Henan,Sanmenxia",62.07,24.85,200.07,0.61,2021-04-04 13:41:43,13.683333333333334
1028,223.167.121.*,China Unicom,"China,Shanghai,Songjiang",259.18,41.13,243.98,2.15,2021-04-04 13:17:08,13.283333333333333
1059,111.194.44.*,China Unicom,"China,Beijing,Beijing",41.34,19.63,207.0,2.15,2021-04-04 08:01:55,8.016666666666667
1064,61.51.157.*,China Unicom,"China,Beijing,Beijing",86.64,12.15,209.0,61.75,2021-04-04 07:14:14,7.233333333333333
1065,123.117.34.*,China Unicom,"China,Beijing,Beijing",58.83,46.5,234.6,42.19,2021-04-04 07:12:16,7.2
1069,220.202.133.*,China Unicom,"China,Beijing,Beijing",17.94,40.12,231.6,28.95,2021-04-04 03:01:19,3.0166666666666666
1078,111.194.44.*,China Unicom,"China,Beijing,Beijing",43.59,15.86,208.7,64.64,2021-04-04 00:46:32,0.7666666666666667
1086,123.139.60.*,China Unicom,"China,Shaanxi,Xi&#39;an",4.19,19.97,299.3,11.21,2021-04-04 00:19:34,0.31666666666666665
1120,27.38.253.*,China Unicom,"China,Guangdong,Shenzhen",4.28,24.58,253.26,12.81,2021-04-03 23:22:21,23.366666666666667
1124,112.224.20.*,China Unicom,"China,Shandong,Jinan",4.74,5.08,294.7,97.85,2021-04-03 23:18:00,23.3
1129,123.146.178.*,China Unicom,"China,Chongqing,Chongqing",97.24,20.21,279.11,2.85,2021-04-03 23:11:09,23.183333333333334
1134,39.84.11.*,China Unicom,"China,Shandong,Linyi",9.42,25.46,282.78,68.85,2021-04-03 23:06:16,23.1
1136,220.202.250.*,China Unicom,"China,Hunan,Banzhu",4.77,7.86,208.98,314.11,2021-04-03 23:05:54,23.083333333333332
1137,61.54.56.*,China Unicom,"China,,",8.43,36.71,209.2,13.77,2021-04-03 23:05:51,23.083333333333332
1148,163.125.142.*,China Unicom,"China,Guangdong,Shenzhen",30.68,27.3,275.45,2.32,2021-04-03 22:52:50,22.866666666666667
1153,120.85.148.*,China Unicom,"China,Guangdong,Baiyun",6.78,2.81,265.63,18.34,2021-04-03 22:44:03,22.733333333333334
1171,221.222.57.*,China Unicom,"China,Beijing,Beijing",62.17,11.45,237.63,9.7,2021-04-03 21:58:25,21.966666666666665
1174,123.113.184.*,China Unicom,"China,Beijing,Beijing",26.56,32.35,222.55,22.56,2021-04-03 21:48:52,21.8
1182,218.68.145.*,China Unicom,"China,Tianjin,Tianjin",21.47,36.35,228.0,104.97,2021-04-03 21:40:46,21.666666666666668
1195,110.17.82.*,China Unicom,"China,Beijing,Beijing",76.36,54.65,233.3,72.67,2021-04-03 21:27:35,21.45
1199,113.3.253.*,China Unicom,"China,,",42.32,41.28,243.7,11.21,2021-04-03 21:23:27,21.383333333333333
1207,125.32.245.*,China Unicom,"China,Jilin,Jilin City",183.53,27.91,225.85,4.5,2021-04-03 21:19:33,21.316666666666666
1209,171.121.155.*,China Unicom,"China,,",12.27,6.65,207.3,2.33,2021-04-03 21:18:55,21.3
1211,122.195.1.*,China Unicom,"China,Jiangsu,Changzhou",40.24,34.88,245.05,340.24,2021-04-03 21:17:54,21.283333333333335
1212,110.231.184.*,China Unicom,"China,,",73.35,20.71,205.0,17.8,2021-04-03 21:17:20,21.283333333333335
1214,119.5.1.*,China Unicom,"China,Shanghai,Shanghai",25.92,28.58,255.15,3.18,2021-04-03 21:15:40,21.25
1233,125.32.245.*,China Unicom,"China,Jilin,Jilin City",81.28,23.46,235.46,27.22,2021-04-03 21:04:54,21.066666666666666
1234,39.81.176.*,China Unicom,"China,Shandong,Heze",45.08,30.36,213.75,2.91,2021-04-03 21:03:36,21.05
1236,58.20.188.*,China Unicom,"China,Hunan,Yongjiawan",97.22,15.19,265.19,3.98,2021-04-03 21:03:16,21.05
1241,119.4.144.*,China Unicom,"China,Guangdong,Guangzhou",56.94,4.82,251.0,19.05,2021-04-03 20:57:54,20.95
1243,139.227.113.*,China Unicom,"China,Shanghai,Shanghai",122.98,54.99,202.49,1.46,2021-04-03 20:57:51,20.95
1244,36.33.150.*,China Unicom,"China,Beijing,Beijing",4.22,13.77,241.09,67.44,2021-04-03 20:56:34,20.933333333333334
1254,115.53.72.*,China Unicom,"China,Henan,Puyang Chengguanzhen",35.79,20.6,205.08,2.23,2021-04-03 20:50:00,20.833333333333332
1261,123.144.97.*,China Unicom,"China,Chongqing,Chongqing",263.65,0.18,236.11,1.98,2021-04-03 20:45:38,20.75
1283,171.120.211.*,China Unicom,"China,Guangdong,Guangzhou",21.18,18.78,212.08,21.74,2021-04-03 20:22:13,20.366666666666667
1284,114.246.112.*,China Unicom,"China,Beijing,Fengtai",193.77,10.22,183.51,11.55,2021-04-03 20:22:00,20.366666666666667
1285,58.19.95.*,China Unicom,"China,,",153.59,43.29,225.51,143.17,2021-04-03 20:21:35,20.35
1294,27.13.32.*,China Unicom,"China,Guangdong,Guangzhou",16.96,24.71,237.4,5.48,2021-04-03 20:15:00,20.25
1301,119.39.248.*,China Unicom,"China,Hunan,Changsha",37.49,18.74,275.32,11.42,2021-04-03 20:10:57,20.166666666666668
1302,139.227.114.*,China Unicom,"China,Shanghai,Shanghai",123.63,22.79,224.34,0.56,2021-04-03 20:10:39,20.166666666666668
1316,27.37.166.*,China Unicom,"China,Guangdong,Dongguan",368.11,30.63,215.34,1.96,2021-04-03 20:03:18,20.05
1321,124.64.140.*,China Unicom,"China,Beijing,Beijing",75.08,22.19,209.12,0.66,2021-04-03 20:01:57,20.016666666666666
1325,163.179.46.*,China Unicom,"China,Guangdong,Guangzhou",325.28,21.96,236.45,1.92,2021-04-03 19:57:23,19.95
1361,175.153.148.*,China Unicom,"China,Shanghai,Shanghai",192.45,30.98,249.28,73.37,2021-04-03 19:39:48,19.65
1364,124.94.254.*,China Unicom,"China,Liaoning,Shenyang",14.11,87.42,280.06,9.0,2021-04-03 19:38:55,19.633333333333333
1372,120.83.73.*,China Unicom,"China,Guangdong,Guangzhou",78.8,19.01,239.99,0.76,2021-04-03 19:35:02,19.583333333333332
1381,125.32.245.*,China Unicom,"China,Jilin,Jilin City",389.37,30.74,219.91,0.83,2021-04-03 19:30:36,19.5
1415,182.90.19.*,China Unicom,"China,Guangxi,Changzhou",176.28,39.62,244.99,0.75,2021-03-30 17:24:08,17.4
1424,124.89.240.*,China Unicom,"China,Zhejiang,Xushan",2.54,41.05,265.39,0.59,2021-03-27 22:59:08,22.983333333333334
1427,163.125.53.*,China Unicom,"China,Guangdong,Shenzhen",2.51,2.8,261.88,16.78,2021-03-27 00:24:11,0.4
